# # # # # # # # # # # # # # # # # # # # # # # #
дополнительно
# # # # # # # # # # # # # # # # # # # # # # # #
Асфальт 60
# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #

# # # # # # # # # # # # # # # # # # # # # # # #
Source: Inbuilt accelerometer
Axis: XYZ
Size: 4096
Y-axis: g
Sampling rate: 99.418 Hz
FFT Size: 64
Window: Blackman
# # # # # # # # # # # # # # # # # # # # # # # #
X;Y;Z
0.0753173828;0.2453613281;-0.9620971680
0.1760101318;-0.0014648438;-0.7987060547
0.2093963623;-0.1264038086;-0.9833221436
-0.0262451172;-0.0055999756;-1.1782684326
0.0888824463;0.0832519531;-1.0251312256
0.1345977783;0.1025085449;-0.9614562988
0.0951690674;-0.0756378174;-1.0440368652
0.0765991211;0.0082397461;-1.1029510498
-0.0038909912;-0.0731964111;-0.9789123535
-0.0066528320;-0.0450592041;-1.0582733154
-0.0358886719;-0.0010681152;-1.0848083496
0.1261138916;-0.0136718750;-1.0464477539
0.0333557129;-0.0260162354;-1.0864868164
0.0721435547;0.0725250244;-1.1468658447
0.0749664307;0.0318145752;-1.0366058350
-0.0833435059;-0.0656738281;-1.1547241211
0.0680694580;0.0441436768;-1.1617889404
0.0459442139;-0.0399017334;-1.0121002197
0.0544738770;-0.0499114990;-1.0123138428
0.0507965088;-0.0205535889;-1.1469879150
-0.0768737793;-0.0691375732;-1.0285186768
-0.0173339844;0.0984191895;-1.1060943604
0.0112609863;-0.0590209961;-1.0939483643
0.0296630859;-0.0106048584;-1.0593109131
0.0322570801;-0.0539398193;-1.0335388184
0.0930175781;-0.0241241455;-1.1198730469
0.0583038330;-0.0372619629;-1.0420532227
0.0728607178;-0.0061950684;-1.0406646729
0.0547332764;0.0254821777;-1.0692291260
0.1212463379;-0.0893707275;-1.0579986572
0.0538330078;-0.0664367676;-1.0831909180
0.0983734131;-0.0389862061;-1.0686950684
0.1015319824;-0.1197662354;-1.0179748535
0.0997924805;-0.0322875977;-1.0192718506
0.0769958496;-0.0465850830;-1.0439300537
0.1390075684;-0.1321258545;-1.0509948730
0.1290283203;-0.0187530518;-0.9953613281
0.1631011963;0.0633392334;-0.9729766846
0.1400451660;-0.0749206543;-0.9361877441
0.1358032227;0.0946502686;-1.0619506836
0.1378326416;-0.0384674072;-0.9820251465
0.0836639404;-0.0240478516;-0.9576110840
0.1096649170;-0.0447387695;-1.0245056152
0.0755004883;0.0284729004;-0.9426269531
0.0725250244;0.0714874268;-0.9159545898
-0.0431671143;-0.1309967041;-0.8420715332
-0.0229644775;0.0238037109;-1.0028533936
-0.0409698486;-0.0876617432;-0.9770202637
0.0359649658;0.0649719238;-0.9164733887
0.0624389648;0.0139160156;-0.8992462158
0.0155334473;0.0227355957;-0.9470672607
-0.0015869141;-0.0117034912;-1.0136871338
-0.0051879883;-0.0726165771;-0.8656768799
-0.0224914551;-0.0537261963;-0.9082641602
-0.0087127686;-0.0189514160;-0.9636840820
0.0165557861;0.0304412842;-0.9068145752
0.0055694580;0.0601959229;-0.8170623779
-0.0312652588;-0.0207519531;-0.9426879883
0.0258636475;-0.0259552002;-1.0608978271
-0.0091705322;-0.0080413818;-0.9115142822
0.0257568359;-0.0268554688;-0.8768768311
-0.0116119385;-0.0257720947;-0.9670562744
0.1040039062;0.1445617676;-0.8876495361
0.0856323242;0.0939483643;-0.5430450439
0.0667114258;-0.0293579102;-0.7234802246
-0.0124053955;-0.1015472412;-0.8874206543
0.0101928711;0.1487884521;-0.9146881104
0.1220397949;0.0652618408;-0.8544158936
0.1613159180;0.0828552246;-0.8847656250
0.0877532959;0.0778198242;-0.9601898193
0.1541137695;-0.0020446777;-1.0168457031
0.2218475342;-0.0512084961;-1.0904541016
0.0495605469;0.0553283691;-0.9389343262
0.1510925293;0.0778808594;-1.1241760254
0.0454559326;-0.1305389404;-1.0065460205
0.1303710938;0.0423278809;-1.2098083496
0.1018371582;-0.1037597656;-1.1049041748
0.2306213379;0.0309600830;-1.1654663086
0.1510314941;-0.1194610596;-1.1386566162
0.0650787354;-0.0340270996;-1.1619262695
0.0689239502;-0.0669860840;-1.1734466553
0.2563934326;0.0076446533;-1.0295715332
0.2703552246;-0.0364685059;-0.9936676025
0.2032775879;0.1591644287;-1.1026763916
0.1380462646;0.0970001221;-1.1629791260
0.1463317871;0.0600433350;-1.0931854248
0.0902557373;-0.0377044678;-1.2822418213
0.2360382080;-0.2234497070;-1.2728576660
-0.0831604004;-0.0901489258;-1.3036804199
0.0914916992;0.0675964355;-1.2690582275
0.0887298584;-0.0541381836;-1.2218475342
0.1735687256;-0.1246032715;-1.1599273682
0.0731048584;-0.0890350342;-1.2551727295
0.1232147217;-0.1742248535;-1.2724914551
0.1003265381;-0.3417663574;-1.3660430908
-0.0620880127;-0.0334320068;-1.3115234375
0.0646362305;-0.0904388428;-1.2602539062
0.1889801025;0.0620574951;-0.9691162109
0.1750640869;-0.0036163330;-1.0477142334
0.0815582275;-0.2964172363;-1.1674346924
-0.0855407715;-0.3273773193;-1.2393798828
-0.0263519287;-0.0840454102;-1.1944274902
0.1055755615;0.0103759766;-0.9589385986
0.2160949707;-0.1225738525;-0.9378967285
0.1512908936;-0.0427398682;-1.0631103516
-0.0017852783;-0.2771148682;-1.1213378906
-0.0073394775;-0.1300354004;-1.0398864746
0.0018615723;-0.1305694580;-1.0637207031
0.1431274414;-0.1054687500;-0.9364471436
0.1786804199;-0.0062408447;-0.9128417969
0.1910552979;-0.0608825684;-0.9095306396
0.0633850098;-0.1133728027;-1.0256958008
0.0313568115;-0.1587677002;-1.0643768311
0.0486755371;-0.0900878906;-0.9776000977
0.1547546387;-0.0207519531;-0.8428192139
0.1474914551;0.0866851807;-0.7507781982
0.1795043945;-0.1492156982;-0.9063110352
0.1477355957;-0.1281433105;-0.9017486572
0.0064697266;-0.0934295654;-0.9567565918
0.0966186523;-0.0361938477;-0.9381561279
0.1541748047;0.0221710205;-0.8885955811
0.1745605469;0.0373687744;-0.8095397949
0.0821228027;-0.0048675537;-0.8462219238
0.1011962891;-0.0811157227;-0.9152069092
0.0567016602;-0.0432891846;-0.8786163330
-0.0075988770;-0.0480499268;-0.9236755371
0.0904693604;0.0040740967;-0.9264068604
0.0892639160;0.0340270996;-0.9440155029
0.0816650391;0.0499114990;-0.9409637451
0.0127258301;-0.1182098389;-0.9885101318
-0.0437011719;-0.0835266113;-0.9119873047
-0.0571899414;-0.0690917969;-0.9458770752
0.0591735840;-0.0130310059;-0.9100341797
0.1213378906;0.0659179688;-0.9359130859
0.1058807373;-0.0490570068;-0.9423828125
0.0655670166;0.0276336670;-1.0239105225
-0.0181427002;-0.1617889404;-1.0283813477
0.0075683594;0.0613250732;-1.0090179443
0.0033874512;-0.0039825439;-0.8964538574
0.1355438232;-0.0074310303;-0.8697052002
0.0423431396;-0.0277557373;-0.9414215088
0.0381011963;0.1286315918;-0.9702606201
0.0781402588;-0.0107727051;-0.9513702393
0.1013641357;0.0440826416;-0.9655456543
-0.0074920654;-0.0279235840;-1.0294189453
0.0888824463;0.1248321533;-1.0463714600
0.1202392578;-0.0520477295;-0.9414825439
0.1665649414;0.0569610596;-0.9626007080
0.1365203857;0.0037384033;-0.9416503906
0.0903167725;-0.0623779297;-0.9129180908
0.0741424561;0.0180969238;-0.9939727783
0.0557098389;-0.0574951172;-1.0865631104
0.0779724121;-0.0488891602;-1.0060882568
0.1288757324;0.0528564453;-0.9771881104
0.1181640625;0.0089874268;-0.9392395020
0.0648193359;-0.0538635254;-0.9966888428
0.1196746826;-0.0692443848;-1.0290985107
0.0777282715;-0.0541992188;-0.9615173340
0.1121826172;-0.0704345703;-0.9925842285
0.0965576172;0.0213775635;-1.0100402832
0.1229095459;0.0003662109;-0.9696044922
0.0422515869;0.0156860352;-0.9579162598
0.1455993652;-0.0119018555;-0.9706420898
0.0417175293;-0.0884857178;-1.0125732422
0.0019989014;-0.0446624756;-1.0634155273
0.0768737793;0.0336151123;-0.9871826172
0.1776580811;-0.0059967041;-0.8634796143
0.1173248291;0.0304565430;-0.9860992432
0.0355529785;-0.0236968994;-0.9864654541
0.1211853027;-0.0487976074;-1.0026397705
0.0458221436;-0.0471801758;-0.9743804932
0.1266174316;-0.0117950439;-1.0766448975
0.1646575928;0.1259918213;-0.8732604980
0.1001739502;0.0372161865;-0.8304748535
0.1215667725;-0.0526885986;-1.0746612549
0.0359344482;0.0177612305;-1.0717620850
0.0644531250;-0.0307312012;-0.8312988281
0.0620117188;0.1273345947;-0.9640655518
0.0879364014;-0.0523986816;-0.9543304443
0.1188354492;0.0603485107;-0.9562072754
0.0493774414;0.0083160400;-0.9266204834
0.1585845947;-0.0694274902;-1.0878601074
0.0551147461;-0.0801544189;-1.0409698486
0.1283416748;0.0722198486;-0.9946746826
0.0359954834;-0.0405578613;-0.9337768555
0.1734161377;0.0820617676;-0.9376068115
0.0039520264;-0.0184631348;-0.9313659668
0.1121368408;0.0354461670;-0.9289398193
-0.0163574219;-0.0321960449;-0.9837036133
0.0845794678;0.0101318359;-1.0261840820
0.0903167725;0.1303710938;-0.9914703369
0.1165466309;-0.0143432617;-0.9362335205
0.0609130859;0.0664062500;-1.0227355957
0.0313262939;0.0610961914;-1.0022888184
0.0817108154;-0.0314941406;-0.9242095947
0.1063842773;0.1633453369;-0.9408874512
0.0921783447;-0.0565795898;-0.8933105469
0.1434173584;0.0371398926;-0.9866790771
-0.0208282471;-0.0591278076;-0.9942932129
0.0252685547;-0.0391693115;-0.9293212891
0.0432586670;0.0568847656;-1.0027160645
0.0956878662;-0.0070037842;-0.9921875000
0.0845642090;0.1561737061;-0.9146118164
0.0670166016;-0.0122833252;-0.8789978027
0.0766143799;-0.0655364990;-0.9825592041
0.0226593018;-0.0871887207;-0.9783630371
0.0988464355;0.0457000732;-0.9489135742
0.1123962402;-0.0554046631;-0.9165344238
0.1417083740;-0.0025787354;-0.9547882080
-0.0293731689;0.0387420654;-1.0039062500
0.0673370361;-0.0934600830;-0.9534454346
0.0191497803;-0.0215301514;-0.9668731689
0.0430145264;-0.0037536621;-0.9165649414
0.0904693604;0.0547180176;-0.9106292725
0.1034851074;-0.0064086914;-0.8864593506
0.0440521240;-0.0453338623;-0.9244232178
0.1573486328;-0.0393981934;-1.0126037598
0.1195831299;-0.0553131104;-0.8560485840
0.0025939941;0.0436248779;-0.9551391602
0.0485229492;-0.0581665039;-1.0032958984
0.1113281250;-0.0350646973;-0.8715209961
0.1735229492;0.0378265381;-0.8697052002
0.0646514893;-0.2067413330;-0.9476470947
0.0611572266;-0.0087432861;-1.0695953369
0.0751190186;-0.1520233154;-0.8796539307
0.0872192383;0.0504302979;-0.9874267578
0.1209869385;0.0498962402;-1.0349426270
0.1354980469;-0.0857849121;-0.9380187988
0.1151428223;-0.0045928955;-1.0471191406
0.0341796875;-0.1234283447;-0.9869079590
0.1134948730;-0.0323181152;-1.0509643555
0.1004791260;-0.0595855713;-0.8980865479
0.1519165039;-0.0069580078;-0.9605102539
0.0683898926;-0.1327972412;-0.9736022949
0.0941619873;0.0046081543;-1.0710754395
0.0595855713;-0.0475616455;-0.9913482666
0.0907592773;-0.0441589355;-1.0257873535
0.1748352051;0.0485382080;-1.0207519531
0.1397094727;-0.0855865479;-0.9820251465
0.0492706299;-0.0479888916;-1.0284118652
0.0914764404;-0.0761108398;-1.0412750244
0.1096649170;-0.0623474121;-0.9747924805
0.0743865967;0.0462036133;-1.0008239746
0.0850982666;-0.0568695068;-1.0052795410
0.1027221680;-0.0422363281;-1.0290679932
0.0111541748;0.0065155029;-1.0362548828
0.1286315918;0.0131530762;-1.0629730225
0.1676635742;0.0655059814;-1.0393371582
0.0390472412;-0.2775726318;-1.0103454590
0.0304412842;0.2607574463;-1.1312713623
0.2302246094;-0.0261230469;-0.9373168945
-0.0030670166;-0.0729675293;-0.8864288330
0.0910491943;0.0695037842;-1.1813659668
0.0787353516;-0.1996307373;-0.9846801758
0.0762329102;0.0875091553;-0.9576263428
0.0924682617;0.0096893311;-1.0274047852
0.0977935791;0.0198822021;-1.1130371094
0.0779571533;-0.0614318848;-0.9720306396
0.0251159668;0.0729827881;-0.9788665771
0.0354309082;-0.0894927979;-0.9089660645
0.0906829834;0.1202545166;-0.9787597656
0.0797729492;-0.0028686523;-0.9219818115
0.1848449707;-0.0636596680;-1.0358276367
0.0304107666;-0.1051483154;-1.0296630859
-0.0135345459;0.1831207275;-1.0510559082
0.0638122559;-0.1254730225;-1.0320892334
0.2183380127;-0.0295104980;-0.9533233643
-0.0542907715;0.0448608398;-0.9982604980
0.2073059082;-0.1345672607;-0.9401855469
0.0150451660;0.1153106689;-1.0259552002
-0.0087585449;-0.0384063721;-0.9930725098
0.2006378174;-0.0412139893;-0.9759521484
0.1111755371;0.2117462158;-0.9974517822
0.1500244141;-0.0758972168;-1.0087585449
-0.0334014893;-0.0951843262;-0.9870758057
0.1009826660;0.1160430908;-1.0111541748
0.1322326660;-0.1710357666;-0.7876586914
0.1151733398;0.2209167480;-0.9708709717
0.0992126465;-0.1119537354;-0.9042968750
0.1245117188;-0.0171966553;-0.9385986328
-0.0239257812;0.0160827637;-1.0987396240
0.1428833008;-0.1062469482;-0.9896240234
0.0730438232;0.0234680176;-0.9537658691
0.0872650146;0.0049743652;-0.9346008301
0.0793151855;-0.0731658936;-0.9431762695
0.0228729248;0.0033111572;-0.9945678711
0.0538482666;-0.0161285400;-0.9458923340
0.1309661865;-0.0021820068;-0.9562377930
-0.0601196289;-0.0597991943;-0.8785247803
0.1003265381;-0.1343536377;-0.9659729004
0.0127563477;0.0520477295;-0.9564056396
0.0918121338;0.0150451660;-0.9232635498
0.1041564941;-0.1267852783;-0.9799194336
0.0740203857;-0.0615997314;-0.9721221924
0.0285491943;0.0787963867;-0.9030609131
0.1083221436;0.0166168213;-0.8947601318
0.0700531006;0.0380401611;-0.9057464600
0.1143646240;-0.0700836182;-1.0556793213
0.0954742432;-0.1399688721;-1.0366516113
0.1191406250;-0.0228881836;-0.9669799805
0.0286407471;-0.0170440674;-0.9267272949
0.0823059082;0.0578613281;-0.9672393799
0.1232299805;-0.1093750000;-0.8906860352
0.0785980225;-0.0189666748;-1.0024414062
0.0556335449;0.0062561035;-1.0962524414
0.2294311523;-0.0039215088;-0.9778137207
0.1782836914;0.0662231445;-0.9894256592
0.0953674316;-0.1129455566;-1.0012054443
0.1107330322;0.0256652832;-1.0726013184
0.0972290039;0.0038299561;-0.8768157959
0.0675048828;-0.1401519775;-0.9274444580
0.1231689453;-0.0416564941;-1.0875854492
0.1209564209;0.0918579102;-0.9963073730
0.1612396240;0.0288391113;-0.9556884766
0.0551605225;-0.0126037598;-1.0906982422
0.0581665039;-0.1743011475;-1.1092376709
0.0665588379;0.0104522705;-1.0374145508
0.0817260742;0.0215606689;-0.9677124023
0.2240295410;-0.1199645996;-0.9838714600
0.0921325684;0.0617675781;-0.9813690186
0.0413360596;-0.0024871826;-0.9436340332
0.0787048340;-0.0143127441;-1.0497131348
0.0384063721;-0.0713958740;-1.1128692627
0.0510406494;-0.0753479004;-1.0502014160
0.0885009766;0.0496368408;-0.9722290039
0.1391601562;-0.0596618652;-0.9606781006
0.0583496094;0.0073394775;-1.0355834961
0.0682373047;-0.0403289795;-0.9832000732
0.0940704346;0.0261993408;-1.0147552490
0.0361938477;-0.1197814941;-0.9970855713
0.1326599121;0.1323852539;-1.0983734131
0.0929565430;-0.0509033203;-1.0402679443
0.2113952637;-0.0085601807;-0.9402465820
-0.0006866455;-0.0841369629;-0.9739685059
0.0785827637;-0.1427154541;-1.0934295654
0.0339050293;-0.0312042236;-0.9499816895
0.1229858398;0.1632232666;-0.9107055664
0.2326660156;0.0153045654;-0.9418029785
0.1281433105;-0.0144042969;-1.0393829346
0.0036010742;-0.0228424072;-1.0747833252
0.0970001221;0.0219421387;-1.0257568359
0.1593170166;-0.0279998779;-0.9659423828
0.1963195801;0.0502929688;-0.9350738525
0.0879058838;-0.0816192627;-0.9372406006
0.1912536621;0.0710144043;-1.0725402832
0.0045623779;-0.0559539795;-0.9735412598
0.0734405518;0.0022888184;-0.9966735840
0.1451568604;-0.0092010498;-0.9895019531
0.1083679199;-0.0020904541;-1.0140228271
0.0911254883;-0.0058898926;-0.9770202637
0.1968536377;-0.0889434814;-1.0619659424
0.1869201660;0.0338134766;-0.9804840088
0.2466888428;-0.0082550049;-0.9665985107
0.2003479004;-0.0426025391;-0.8983612061
-0.0345764160;0.0153808594;-0.9045867920
-0.0150146484;-0.0241241455;-1.0002593994
0.1078186035;-0.1124725342;-1.0018310547
0.1568450928;-0.0664215088;-1.0272064209
0.2728271484;-0.0320434570;-0.9684295654
0.1436309814;0.0681610107;-0.9831542969
0.1440124512;0.0094909668;-1.0610656738
0.0216979980;0.0515289307;-1.0816650391
0.0891265869;-0.1408233643;-1.0080566406
0.2066802979;-0.0276031494;-0.9328765869
0.1480560303;0.0320129395;-0.8485412598
0.1624908447;0.0177459717;-0.9742736816
0.1010284424;-0.0059509277;-1.0911865234
0.1152191162;-0.0202484131;-1.1006317139
0.0729522705;-0.1211547852;-1.0904083252
0.2121429443;0.0611419678;-1.0476379395
0.1549224854;0.0930480957;-0.8605194092
0.1368408203;-0.0584716797;-0.9098052979
0.0950012207;0.0503845215;-1.0399475098
0.1702880859;-0.1604156494;-1.0276336670
0.1780853271;0.1226654053;-0.9281616211
0.1462402344;-0.0585021973;-1.0182342529
0.1763305664;-0.0941467285;-1.1388702393
0.1190338135;0.1422576904;-1.0837554932
0.1475219727;-0.0575714111;-0.9651947021
0.1509399414;-0.0375671387;-1.0362548828
0.1243591309;0.0549011230;-1.0353240967
0.0996704102;-0.0461120605;-0.8664550781
0.1067504883;-0.0441436768;-0.9885253906
